ts,id,h,w,l,class,x,y,z,vx,vy,vel,ax,ay,acc,heading,model_reference
0,0,0,0,0,,-28.560000000000002,-137.03,0,0,0,0,0,0,0,0,vehicle.tesla.model3
0,1,0,0,0,,-0.14,-130.21,0,0,0,0,0,0,0,180,vehicle.audi.etron
0,2,1.7,2,6,,19.36,-133.96,0,0,0,0,0,0,0,180,
0,3,1.6,1.9,4.9,,-0.21,-140.70000000000002,0,0,0,0,0,0,0,0,
10000,0,0,0,0,,-28.464180000000002,-137.03084,0,0,0,0,0,0,0,0,vehicle.tesla.model3
10000,1,0,0,0,,-0.19674,-130.20964,0,0,0,0,0,0,0,180,vehicle.audi.etron
10000,2,1.7,2,6,,19.26422,-133.95914000000002,0,0,0,0,0,0,0,180,
10000,3,1.6,1.9,4.9,,-0.17092,-140.7005,0,0,0,0,0,0,0,0,
20000,0,0,0,0,,-28.36836,-137.03168,0,0,0,0,0,0,0,0,vehicle.tesla.model3
20000,1,0,0,0,,-0.25348,-130.20928,0,0,0,0,0,0,0,180,vehicle.audi.etron
20000,2,1.7,2,6,,19.16844,-133.95828,0,0,0,0,0,0,0,180,
20000,3,1.6,1.9,4.9,,-0.13184,-140.701,0,0,0,0,0,0,0,0,
30000,0,0,0,0,,-28.27254,-137.03252,0,0,0,0,0,0,0,0,vehicle.tesla.model3
30000,1,0,0,0,,-0.31022,-130.20892,0,0,0,0,0,0,0,180,vehicle.audi.etron
30000,2,1.7,2,6,,19.072660000000003,-133.95742,0,0,0,0,0,0,0,180,
30000,3,1.6,1.9,4.9,,-0.09276,-140.7015,0,0,0,0,0,0,0,0,
40000,0,0,0,0,,-28.17672,-137.03336,0,0,0,0,0,0,0,0,vehicle.tesla.model3
40000,1,0,0,0,,-0.36696,-130.20856,0,0,0,0,0,0,0,180,vehicle.audi.etron
40000,2,1.7,2,6,,18.97688,-133.95656000000002,0,0,0,0,0,0,0,180,
40000,3,1.6,1.9,4.9,,-0.053680000000000005,-140.702,0,0,0,0,0,0,0,0,
50000,0,0,0,0,,-28.080900000000003,-137.0342,0,0,0,0,0,0,0,0,vehicle.tesla.model3
50000,1,0,0,0,,-0.4237000000000001,-130.2082,0,0,0,0,0,0,0,180,vehicle.audi.etron
50000,2,1.7,2,6,,18.8811,-133.9557,0,0,0,0,0,0,0,180,
50000,3,1.6,1.9,4.9,,-0.014600000000000009,-140.70250000000001,0,0,0,0,0,0,0,0,
60000,0,0,0,0,,-27.98508,-137.03504,0,0,0,0,0,0,0,0,vehicle.tesla.model3
60000,1,0,0,0,,-0.48044,-130.20784,0,0,0,0,0,0,0,180,vehicle.audi.etron
60000,2,1.7,2,6,,18.78532,-133.95484000000002,0,0,0,0,0,0,0,180,
60000,3,1.6,1.9,4.9,,0.024480000000000005,-140.703,0,0,0,0,0,0,0,0,
70000,0,0,0,0,,-27.88926,-137.03588,0,0,0,0,0,0,0,0,vehicle.tesla.model3
70000,1,0,0,0,,-0.5371800000000001,-130.20748,0,0,0,0,0,0,0,180,vehicle.audi.etron
70000,2,1.7,2,6,,18.68954,-133.95398,0,0,0,0,0,0,0,180,
